Brand,Condition,Fuel,Distance,Model,Price,Registered_City,Transaction_Type,Year
Suzuki,Used,CNG,2.0,Mehran VX,200000.0,Karachi,Cash,1993.0
Toyota,Used,Petrol,117000.0,Corolla GLI,1465000.0,Karachi,Cash,2012.0
Honda,Used,Petrol,120000.0,Civic VTi Oriel Prosmatec,950000.0,Karachi,Cash,2006.0
Toyota,Used,Petrol,77272.0,Prius,1900000.0,Karachi,Cash,2011.0
Toyota,Used,Petrol,44000.0,Corrolla Altis,2100000.0,Karachi,Cash,2015.0
Toyota,Used,Hybrid,76000.0,Prius,2085000.0,Karachi,Cash,2012.0
Daihatsu,Used,Petrol,133000.0,Hijet,890000.0,Karachi,Cash,2013.0
Suzuki,Used,Petrol,123.0,Alto,520000.0,Karachi,Cash,2009.0
Suzuki,New,Petrol,4350.0,Wagon R,1210000.0,Karachi,Cash,2017.0
Suzuki,Used,Petrol,25000.0,Cultus VX,550000.0,Lahore,Cash,2005.0
Suzuki,Used,Petrol,30000.0,Baleno,420000.0,Karachi,Cash,1999.0
FAW,New,Petrol,10000.0,V2,1160000.0,Karachi,Cash,2017.0
Suzuki,New,CNG,70000.0,Bolan,550000.0,Karachi,Cash,2006.0
Mercedes,Used,CNG,22.0,200 D,450000.0,Karachi,Cash,1969.0
Toyota,New,Petrol,19000.0,Corolla XLI,1890000.0,Karachi,Cash,2017.0
Honda,Used,Petrol,150000.0,Civic Prosmetic,740000.0,Lahore,Cash,2003.0
Honda,Used,Hybrid,200000.0,Civic VTi,425000.0,Karachi,Cash,1996.0
KIA,Used,CNG,100000.0,Spectra,290000.0,Karachi,Cash,2003.0
Daihatsu,New,Petrol,5.0,Mira,300000.0,Karachi,Installment/Leasing,2018.0
Suzuki,Used,Petrol,200000.0,Baleno,525000.0,Karachi,Cash,2004.0
KIA,Used,CNG,2.0,Classic,220000.0,Karachi,Cash,2000.0
Suzuki,Used,Petrol,76.0,Cultus VXR,625000.0,Karachi,Cash,2008.0
Daihatsu,Used,Petrol,92000.0,Hijet,850000.0,Karachi,Cash,2012.0
Toyota,Used,Petrol,64000.0,Vitz,1335000.0,Lahore,Cash,2013.0
Honda,Used,CNG,95000.0,Accord,1120000.0,Karachi,Cash,2007.0
Toyota,Used,Petrol,130000.0,IST,1060000.0,Karachi,Cash,2013.0
Suzuki,Used,CNG,98523.0,Cultus VXR,495000.0,Karachi,Cash,2005.0
Toyota,New,Petrol,48000.0,Vitz,1750000.0,Karachi,Cash,2015.0
Suzuki,Used,Petrol,9000.0,Cultus VXL,1640000.0,Karachi,Cash,2018.0
Suzuki,Used,Petrol,19320.0,Swift,200000.0,Kohat,Installment/Leasing,2014.0
Toyota,Used,Petrol,80000.0,Corolla GLI,1475000.0,Lahore,Cash,2011.0
Suzuki,Used,CNG,32000.0,Alto,450000.0,Karachi,Cash,2008.0
Suzuki,Used,Hybrid,50000.0,Alto,630000.0,Lahore,Cash,2009.0
Toyota,Used,Petrol,85000.0,Corolla XLI,1200000.0,Karachi,Cash,2007.0
Suzuki,New,Petrol,49000.0,Cultus VXR,915000.0,Lahore,Cash,2015.0
Classic & Antiques,Used,Petrol,50000.0,Other,1100000.0,Karachi,Cash,1971.0
Toyota,Used,Petrol,143000.0,Corolla GLI,1650000.0,Islamabad,Cash,2012.0
Daihatsu,Used,Petrol,75000.0,Mira,1140000.0,Karachi,Cash,2014.0
Honda,Used,Petrol,175000.0,City IVTEC,1270000.0,Islamabad,Cash,2009.0
Suzuki,Used,CNG,27000.0,Cultus VXR,710000.0,Karachi,Cash,2017.0
Toyota,Used,CNG,1234567.0,Corolla XE,750000.0,Karachi,Cash,1998.0
Daihatsu,Used,CNG,1056.0,Charade,195000.0,Karachi,Cash,1986.0
Suzuki,Used,Petrol,70000.0,Cultus VXR,780000.0,Karachi,Cash,2014.0
Honda,Used,Petrol,139000.0,City Vario,780000.0,Karachi,Cash,2005.0
Toyota,New,Petrol,15000.0,Surf,1250000.0,Karachi,Cash,1995.0
Daihatsu,Used,Petrol,12345.0,Charade,250000.0,Multan,Cash,1986.0
KIA,Used,Petrol,125436.0,Classic,279999.0,Lahore,Cash,2001.0
Suzuki,Used,Petrol,52500.0,Wagon R,1065000.0,Lahore,Cash,2015.0
Daewoo,Used,CNG,105000.0,Racer,280000.0,Islamabad,Cash,1993.0
Other Brands,Used,Petrol,100000.0,Other,50000.0,Rawalpindi,Installment/Leasing,1965.0
Suzuki,Used,Petrol,1.0,FX,95000.0,Karachi,Cash,1984.0
Daihatsu,Used,CNG,90000.0,Cuore,550000.0,Karachi,Cash,2010.0
Honda,Used,Petrol,191000.0,Civic EXi,760000.0,Karachi,Cash,2005.0
Toyota,Used,Petrol,135000.0,Vitz,1100000.0,Lahore,Cash,2012.0
Suzuki,Used,CNG,76000.0,Bolan,280000.0,Karachi,Cash,1992.0
Honda,Used,CNG,1111.0,Other,149000.0,Karachi,Cash,1987.0
Suzuki,Used,Petrol,95000.0,Khyber,250000.0,Karachi,Cash,1994.0
Honda,Used,CNG,180000.0,Civic EXi,430000.0,Nowshera,Cash,1995.0
Toyota,Used,CNG,55.0,Other,90000.0,Karachi,Cash,1987.0
Honda,Used,CNG,22.0,Civic EXi,290000.0,Karachi,Cash,1990.0
Suzuki,Used,CNG,20000.0,Bolan,410000.0,Karachi,Cash,2004.0
Suzuki,Used,CNG,22000.0,Bolan,390000.0,Karachi,Cash,2001.0
Suzuki,Used,Petrol,135000.0,Bolan,730000.0,Islamabad,Cash,2014.0
Suzuki,Used,CNG,124000.0,Liana,525000.0,Karachi,Cash,2006.0
Suzuki,Used,CNG,20000.0,Cultus VXR,520000.0,Karachi,Cash,2006.0
Suzuki,Used,CNG,94957.0,Other,300000.0,Karachi,Cash,1999.0
